site_code,plot_number,plot_name
Angelo,1,Wilderness Lodge Meadow
Angelo,2,South Fork Eel River
Angelo,3,Oak Woodland
Angelo,4,Elder Creek
AnoNuevo,1,GORP
AnoNuevo,2,Coastal Scrub Seasonal Riparian
AnoNuevo,3,Bickford Pond
AnoNuevo,4,Dune 
BlueOakRanch,1,Blue Bottle Spring
BlueOakRanch,2,Aguague
BlueOakRanch,3,Cabin Pond
BlueOakRanch,4,Dogleg
Bodega,1,Native Dunes
Bodega,2,Lab Pond
Bodega,3,Coastal Prairie
Bodega,4,Gaffney Point
BoxSprings,1,
BoxSprings,2,
BoxSprings,3,
BoxSprings,4,
Cahill,1,
Cahill,2,
Cahill,3,
Cahill,4,
DeepCanyon,1,
DeepCanyon,2,
DeepCanyon,3,
DeepCanyon,4,
PinonRidge,1,
PinonRidge,2,
PinonRidge,3,
PinonRidge,4,
CarpSaltMarsh,1,
CarpSaltMarsh,2,
CarpSaltMarsh,3,
CarpSaltMarsh,4,
CoalOilPoint,1,Oak Woodland
CoalOilPoint,2,Vernal Pool Grassland
CoalOilPoint,3,Dune Scrub
CoalOilPoint,4,Back Dunes
LosMonosCanyon,1,
LosMonosCanyon,2,
LosMonosCanyon,3,
LosMonosCanyon,4,
ElliotChaparral,1,
ElliotChaparral,2,
ElliotChaparral,3,
ElliotChaparral,4,
EmersonOaks,1,
EmersonOaks,2,
EmersonOaks,3,
EmersonOaks,4,
FortOrd,1,1
FortOrd,2,2
FortOrd,3,3
FortOrd,4,4
Hastings,1,
Hastings,2,
Hastings,3,
Hastings,4,
SanJacintoMtns,1,
SanJacintoMtns,2,
SanJacintoMtns,3,
SanJacintoMtns,4,
JepsonPrairie,1,Otter Bridge
JepsonPrairie,2,Olcott Lake
JepsonPrairie,3,Round Pond
JepsonPrairie,4,Calhoun Cut
MissionBayMarsh,1,
MissionBayMarsh,2,
MissionBayMarsh,3,
MissionBayMarsh,4,
RanchoMarino,1,Strawberry Creek
RanchoMarino,2,Ocean Pine Pond
RanchoMarino,3,Oak-Pine Upland
RanchoMarino,4,Coastal Terrace Prairie
BigCreek,1,
BigCreek,2,
BigCreek,3,
BigCreek,4,
Lassen,1,
Lassen,2,
Lassen,3,
Lassen,4,
McLaughlin,1,Mountain Lion Pond
McLaughlin,2,Felch
McLaughlin,3,Quarry Valley
McLaughlin,4,Aikawa
MercedVernal,1,
MercedVernal,2,
MercedVernal,3,
MercedVernal,4,
MotteRimrock,1,
MotteRimrock,2,
MotteRimrock,3,
MotteRimrock,4,
PointReyes,1,
PointReyes,2,
PointReyes,3,
PointReyes,4,
QuailRidge,1,Far Pond
QuailRidge,2,ChaparralRidge
QuailRidge,3,Pleasure Cove
QuailRidge,4,Decker Canyon
Sagehen,1,
Sagehen,2,
Sagehen,3,
Sagehen,4,
SanJoaquinMarsh,1,
SanJoaquinMarsh,2,
SanJoaquinMarsh,3,
SanJoaquinMarsh,4,
SantaCruzIsland,1,
SantaCruzIsland,2,
SantaCruzIsland,3,
SantaCruzIsland,4,
Scripps,1,
Scripps,2,
Scripps,3,
Scripps,4,
Sedgwick,1,Waterfall
Sedgwick,2,Bone Canyon
Sedgwick,3,Windmill
Sedgwick,4,Vernal Pool
SNARL,1,
SNARL,2,
SNARL,3,
SNARL,4,
AnzaBorrego,1,
AnzaBorrego,2,
AnzaBorrego,3,
AnzaBorrego,4,
StrathearnRanch,1,
StrathearnRanch,2,
StrathearnRanch,3,
StrathearnRanch,4,
StuntRanch,1,
StuntRanch,2,
StuntRanch,3,
StuntRanch,4,
GraniteMtns,1,
GraniteMtns,2,
GraniteMtns,3,
GraniteMtns,4,
ValentineCamp,1,
ValentineCamp,2,
ValentineCamp,3,
ValentineCamp,4,
WhiteMtn,1,
WhiteMtn,2,
WhiteMtn,3,
WhiteMtn,4,
YoungerLagoon,1,
YoungerLagoon,2,
YoungerLagoon,3,
YoungerLagoon,4,
Yosemite,1,
Yosemite,2,
Yosemite,3,
Yosemite,4,